Date,Open,High,Low,Close
09/21/2023,"105.44","105.74","105.28","105.36"
09/20/2023,"105.11","105.44","104.67","105.20"
09/19/2023,"105.08","105.21","104.82","105.20"
09/18/2023,"105.30","105.36","105.02","105.20"
09/15/2023,"105.38","105.41","105.08","105.32"
09/14/2023,"104.74","105.44","104.56","105.41"
09/13/2023,"104.58","104.97","104.51","104.77"
09/12/2023,"104.56","104.92","104.46","104.71"
09/11/2023,"105.06","104.94","104.42","104.57"
09/08/2023,"105.06","105.10","104.66","105.09"
09/07/2023,"104.86","105.16","104.80","105.06"
09/06/2023,"104.75","105.02","104.59","104.86"
09/05/2023,"104.13","104.91","104.11","104.81"
09/04/2023,"104.26","104.27","104.03","104.11"
09/01/2023,"103.62","104.29","103.27","104.24"
08/31/2023,"103.10","103.74","103.01","103.62"
08/30/2023,"103.44","103.70","102.94","103.16"
08/29/2023,"103.92","104.36","103.37","103.53"
08/28/2023,"104.17","104.21","103.97","104.06"
08/25/2023,"104.10","104.45","103.74","103.98"
08/24/2023,"103.36","104.03","103.27","103.98"
08/23/2023,"103.58","103.98","103.30","103.56"
08/22/2023,"103.33","103.72","103.01","103.30"
08/21/2023,"103.43","103.50","103.14","103.30"
08/18/2023,"103.40","103.68","103.23","103.57"
08/17/2023,"103.48","103.60","103.06","103.57"
08/16/2023,"103.21","103.53","102.94","103.43"
08/15/2023,"103.15","103.27","102.82","103.21"
08/14/2023,"102.84","103.46","102.77","103.19"
08/11/2023,"102.62","102.91","102.42","102.84"
08/10/2023,"102.48","102.65","101.78","102.52"
08/09/2023,"102.55","102.58","102.29","102.49"
08/08/2023,"102.07","102.80","102.07","102.53"
08/07/2023,"101.99","102.38","101.97","102.05"
08/04/2023,"102.45","102.62","101.74","102.02"
08/03/2023,"102.59","102.84","102.37","102.54"
08/02/2023,"101.96","102.78","101.96","102.59"
08/01/2023,"101.87","102.43","101.85","102.30"
07/31/2023,"101.70","101.91","101.53","101.86"
07/28/2023,"101.69","102.04","101.36","101.62"
07/27/2023,"101.11","101.84","100.55","101.77"
07/26/2023,"101.32","101.44","100.86","100.89"
07/25/2023,"101.42","101.65","101.19","101.35"
07/24/2023,"101.05","101.43","100.89","101.35"
07/21/2023,"100.78","101.19","100.72","101.07"
07/20/2023,"100.28","100.97","100.02","100.88"
07/19/2023,"99.98","100.54","99.93","100.28"
07/18/2023,"99.89","100.11","99.59","99.94"
07/17/2023,"99.95","100.18","99.75","99.84"
07/14/2023,"99.75","100.02","99.58","99.91"
07/13/2023,"100.52","100.61","99.74","99.77"
07/12/2023,"101.59","101.61","100.51","100.52"
07/11/2023,"101.94","101.97","101.65","101.73"
07/10/2023,"102.29","102.56","101.95","101.97"
07/07/2023,"103.08","103.19","102.23","102.27"
07/06/2023,"103.35","103.57","102.92","103.17"
07/05/2023,"103.08","103.39","102.96","103.37"
07/04/2023,"102.97","103.11","102.88","103.04"
07/03/2023,"102.93","103.27","102.75","102.99"
06/30/2023,"103.35","103.54","102.75","102.91"
06/29/2023,"102.96","103.44","102.78","103.34"
06/28/2023,"102.51","103.15","102.47","102.91"
06/27/2023,"102.74","102.80","102.32","102.49"
06/26/2023,"102.83","102.83","102.61","102.69"
06/23/2023,"102.38","103.17","102.38","102.90"
06/22/2023,"102.03","102.47","101.92","102.39"
06/21/2023,"102.50","102.71","102.02","102.07"
06/20/2023,"102.48","102.79","102.32","102.54"
06/19/2023,"102.30","102.55","102.25","102.52"
06/16/2023,"102.12","102.43","102.01","102.24"
06/15/2023,"102.96","103.38","102.09","102.12"
06/14/2023,"103.32","103.40","102.66","102.95"
06/13/2023,"103.58","103.62","103.05","103.34"
