Date,Open,High,Low,Close
01/06/2025,"16.77","16.87","15.71","16.04"
01/03/2025,"17.66","17.94","16.11","16.13"
01/02/2025,"17.21","19.50","16.96","17.93"
01/01/2025,"17.39","17.81","16.68","17.35"
12/31/2024,"17.39","17.81","16.68","17.35"
12/30/2024,"17.21","19.22","16.44","17.40"
12/27/2024,"15.38","18.45","15.29","15.95"
12/26/2024,"14.99","15.93","14.55","14.73"
12/25/2024,"16.97","17.04","14.27","14.27"
12/24/2024,"16.97","17.04","14.27","14.27"
12/23/2024,"18.09","20.02","16.74","16.78"
12/20/2024,"24.14","26.51","17.82","18.36"
12/19/2024,"21.61","24.12","20.16","24.09"
12/18/2024,"15.57","28.32","14.82","27.62"
12/17/2024,"14.98","15.94","14.78","15.87"
12/16/2024,"14.37","14.69","13.99","14.69"
12/13/2024,"13.57","14.25","13.24","13.81"
12/12/2024,"13.73","13.95","13.39","13.92"
12/11/2024,"14.42","14.43","13.52","13.58"
12/10/2024,"14.30","14.54","13.86","14.18"
12/09/2024,"13.36","14.23","13.35","14.19"
12/06/2024,"13.62","13.74","12.70","12.77"
12/05/2024,"13.46","13.70","13.26","13.54"
12/04/2024,"13.16","13.61","12.89","13.45"
12/03/2024,"13.38","13.77","13.19","13.30"
12/02/2024,"14.08","14.10","13.30","13.34"
11/29/2024,"14.00","14.15","13.49","13.51"
11/28/2024,"14.28","15.13","13.96","14.10"
11/27/2024,"14.28","15.13","13.96","14.10"
11/26/2024,"14.95","15.03","13.88","14.10"
11/25/2024,"15.23","15.72","14.54","14.60"
11/22/2024,"16.67","17.56","15.24","15.24"
11/21/2024,"17.10","17.99","15.73","16.87"
11/20/2024,"16.19","18.79","16.04","17.16"
11/19/2024,"15.44","17.93","15.37","16.35"
11/18/2024,"16.60","17.00","15.35","15.58"
11/15/2024,"15.02","17.55","14.56","16.14"
11/14/2024,"14.17","14.32","13.59","14.31"
11/13/2024,"15.09","15.26","13.77","14.02"
11/12/2024,"15.09","15.37","14.69","14.71"
11/11/2024,"15.33","15.56","14.89","14.97"
11/08/2024,"15.13","15.33","14.66","14.94"
11/07/2024,"15.86","15.86","15.13","15.20"
11/06/2024,"16.06","16.82","15.44","16.27"
11/05/2024,"21.98","22.06","20.20","20.49"
11/04/2024,"22.50","23.07","21.73","21.98"
11/01/2024,"22.96","23.09","21.16","21.88"
10/31/2024,"21.44","23.42","21.12","23.16"
10/30/2024,"19.33","20.44","19.30","20.35"
10/29/2024,"19.75","20.53","19.06","19.34"
10/28/2024,"19.11","19.88","18.91","19.80"
10/25/2024,"19.22","20.51","18.23","20.33"
10/24/2024,"18.87","20.24","18.63","19.08"
10/23/2024,"18.21","20.47","18.18","19.24"
10/22/2024,"18.79","19.44","18.05","18.20"
10/21/2024,"18.78","19.34","18.36","18.37"
10/18/2024,"19.30","19.32","17.99","18.03"
10/17/2024,"19.55","19.65","18.88","19.11"
10/16/2024,"20.77","21.01","19.45","19.58"
10/15/2024,"19.61","20.89","19.44","20.64"
10/14/2024,"20.86","20.86","19.69","19.70"
10/11/2024,"20.87","21.16","20.14","20.46"
10/10/2024,"20.91","21.39","20.64","20.93"
10/09/2024,"21.98","22.01","20.71","20.86"
10/08/2024,"22.92","23.14","21.14","21.42"
10/07/2024,"20.76","23.03","20.65","22.64"
10/04/2024,"20.48","20.48","18.48","19.21"
10/03/2024,"19.63","20.75","19.16","20.49"
10/02/2024,"19.65","20.36","18.58","18.90"
10/01/2024,"16.96","20.73","16.61","19.26"
09/30/2024,"17.01","17.79","16.47","16.73"
09/27/2024,"15.64","16.97","15.20","16.96"
09/26/2024,"15.06","15.83","14.90","15.37"
09/25/2024,"15.82","15.82","15.17","15.41"
09/24/2024,"15.87","16.67","15.27","15.39"
09/23/2024,"16.71","16.95","15.75","15.89"
09/20/2024,"16.35","16.68","15.81","16.15"
09/19/2024,"17.21","17.27","16.21","16.33"
09/18/2024,"17.58","19.39","17.11","18.23"
09/17/2024,"17.16","18.08","16.67","17.61"
09/16/2024,"17.16","17.69","16.91","17.14"
09/13/2024,"17.03","17.18","16.23","16.56"
09/12/2024,"17.62","18.59","16.89","17.07"
09/11/2024,"19.41","21.41","17.55","17.69"
09/10/2024,"19.86","20.74","18.90","19.08"
09/09/2024,"21.32","21.41","19.29","19.45"
09/06/2024,"21.98","23.76","18.83","22.38"
09/05/2024,"20.75","21.53","19.21","19.90"
09/04/2024,"23.20","23.31","19.34","21.32"
09/03/2024,"15.76","21.99","15.71","20.72"
08/30/2024,"15.67","16.04","14.78","15.00"
08/29/2024,"16.54","16.57","15.19","15.65"
08/28/2024,"15.51","17.89","15.46","17.11"
08/27/2024,"16.21","16.81","15.37","15.43"
08/26/2024,"16.27","16.67","15.81","16.15"
08/23/2024,"17.12","17.21","15.61","15.86"
08/22/2024,"16.27","18.06","15.76","17.55"
08/21/2024,"16.25","17.17","15.92","16.27"
08/20/2024,"14.89","15.93","14.78","15.88"
08/19/2024,"15.94","16.07","14.46","14.65"
08/16/2024,"15.29","15.76","14.65","14.80"
08/15/2024,"16.27","16.68","14.77","15.23"
08/14/2024,"18.41","18.49","16.12","16.19"
08/13/2024,"20.06","20.79","17.95","18.12"
08/12/2024,"20.79","21.19","18.89","20.71"
08/09/2024,"23.78","24.52","20.26","20.37"
08/08/2024,"28.34","29.47","23.36","23.79"
08/07/2024,"24.77","29.76","21.97","27.85"
08/06/2024,"33.71","34.77","24.02","27.71"
08/05/2024,"23.39","65.73","23.39","38.57"
08/02/2024,"20.52","29.66","20.01","23.39"
08/01/2024,"16.20","19.48","15.95","18.59"
07/31/2024,"16.66","16.77","15.71","16.36"
07/30/2024,"16.64","18.32","16.26","17.69"
07/29/2024,"16.59","17.21","16.23","16.60"
07/26/2024,"17.97","18.05","16.37","16.39"
07/25/2024,"18.41","19.36","16.42","18.46"
07/24/2024,"15.35","18.46","15.18","18.04"
07/23/2024,"15.21","15.35","13.90","14.72"
07/22/2024,"16.79","16.89","14.75","14.91"
07/19/2024,"16.44","17.19","10.62","16.52"
07/18/2024,"14.27","16.43","14.08","15.93"
07/17/2024,"13.60","14.88","13.54","14.48"
07/16/2024,"13.38","13.47","12.95","13.19"
07/15/2024,"12.78","13.26","12.75","13.12"
07/12/2024,"12.87","12.89","12.11","12.46"
07/11/2024,"12.88","13.33","12.23","12.92"
07/10/2024,"12.51","12.92","12.39","12.85"
07/09/2024,"12.48","12.61","12.35","12.51"
07/08/2024,"12.91","12.91","12.31","12.37"
07/05/2024,"12.37","12.61","11.84","12.48"
07/04/2024,"12.13","12.23","11.95","12.09"
07/03/2024,"12.13","12.23","11.95","12.09"
07/02/2024,"12.67","12.88","11.85","12.03"
07/01/2024,"12.98","13.26","12.10","12.22"
06/28/2024,"12.24","12.76","11.87","12.44"
06/27/2024,"12.69","12.77","12.21","12.24"
06/26/2024,"12.81","13.24","12.37","12.55"
06/25/2024,"13.48","13.52","12.84","12.84"
06/24/2024,"13.85","13.88","13.15","13.33"
06/21/2024,"13.22","13.78","12.99","13.20"
06/20/2024,"12.50","13.55","12.18","13.28"
06/19/2024,"12.32","12.55","12.32","12.48"
06/18/2024,"12.70","12.74","12.24","12.30"
06/17/2024,"13.07","13.29","12.50","12.75"
06/14/2024,"12.22","13.45","12.12","12.66"
06/13/2024,"12.05","12.68","11.88","11.94"
06/12/2024,"13.10","13.15","11.94","12.04"
06/11/2024,"12.85","13.47","12.78","12.85"
06/10/2024,"13.09","13.28","12.62","12.74"
06/07/2024,"12.69","13.08","12.11","12.22"
06/06/2024,"12.75","12.98","12.54","12.58"
06/05/2024,"13.14","13.25","12.60","12.63"
06/04/2024,"13.51","14.08","13.11","13.16"
06/03/2024,"13.08","14.31","13.00","13.11"
05/31/2024,"14.50","14.87","12.84","12.92"
05/30/2024,"14.82","14.88","13.67","14.47"
05/29/2024,"13.75","14.32","13.69","14.28"
05/28/2024,"12.51","13.44","12.36","12.92"
05/27/2024,"12.86","12.89","11.89","11.93"
05/24/2024,"12.86","12.89","11.89","11.93"
05/23/2024,"11.53","13.37","11.52","12.77"
05/22/2024,"12.05","12.81","11.78","12.29"
05/21/2024,"12.30","12.56","11.84","11.86"
05/20/2024,"12.27","12.59","12.07","12.15"
05/17/2024,"12.28","12.48","11.91","11.99"
05/16/2024,"12.52","12.67","12.33","12.42"
05/15/2024,"13.73","13.94","12.38","12.45"
05/14/2024,"13.71","14.03","13.27","13.42"
05/13/2024,"13.26","13.66","13.25","13.60"
05/10/2024,"12.77","12.96","12.50","12.55"
05/09/2024,"13.08","13.29","12.68","12.69"
05/08/2024,"13.24","13.51","12.94","13.00"
05/07/2024,"13.52","13.64","13.16","13.23"
05/06/2024,"13.98","14.02","13.44","13.49"
05/03/2024,"14.51","14.58","13.48","13.49"
05/02/2024,"15.14","16.09","14.60","14.68"
05/01/2024,"15.75","16.22","14.35","15.39"
04/30/2024,"14.82","15.90","14.67","15.65"
04/29/2024,"15.37","15.42","14.63","14.67"
04/26/2024,"15.49","16.06","14.92","15.03"
04/25/2024,"16.25","17.55","15.27","15.37"
04/24/2024,"15.76","16.38","15.58","15.97"
04/23/2024,"16.72","16.76","15.69","15.69"
04/22/2024,"18.59","18.72","16.69","16.94"
04/19/2024,"21.33","21.36","18.17","18.71"
04/18/2024,"17.91","18.37","17.21","18.00"
04/17/2024,"18.24","19.11","17.54","18.21"
04/16/2024,"19.49","19.56","17.64","18.40"
04/15/2024,"16.94","19.46","16.26","19.23"
04/12/2024,"14.91","19.20","14.91","17.31"
04/11/2024,"16.02","17.61","14.91","14.91"
04/10/2024,"15.24","16.62","14.59","15.80"
04/09/2024,"15.34","16.63","14.94","14.98"
04/08/2024,"16.24","16.50","15.11","15.19"
04/05/2024,"16.45","16.75","15.53","16.03"
04/04/2024,"14.29","16.92","13.74","16.35"
04/03/2024,"15.00","15.18","14.25","14.33"
04/02/2024,"13.74","15.43","13.68","14.61"
04/01/2024,"13.61","14.15","13.55","13.65"
03/28/2024,"12.93","13.10","12.84","13.01"
03/27/2024,"13.13","13.34","12.66","12.78"
03/26/2024,"13.12","13.43","12.84","13.24"
03/25/2024,"13.67","13.67","13.11","13.19"
03/22/2024,"12.92","13.15","12.58","13.06"
03/21/2024,"12.98","13.08","12.40","12.92"
03/20/2024,"13.83","14.17","13.01","13.04"
03/19/2024,"14.50","14.86","13.80","13.82"
03/18/2024,"14.75","14.85","14.26","14.33"
03/15/2024,"14.33","15.53","14.14","14.41"
03/14/2024,"13.62","15.33","13.42","14.40"
03/13/2024,"13.89","14.04","13.67","13.75"
03/12/2024,"14.97","15.20","13.81","13.84"
03/11/2024,"15.51","16.04","15.13","15.22"
03/08/2024,"14.22","15.53","13.97","14.74"
03/07/2024,"14.98","14.98","14.25","14.44"
03/06/2024,"14.27","14.93","13.89","14.50"
03/05/2024,"13.75","15.10","13.75","14.46"
03/04/2024,"13.49","13.58","13.32","13.49"
03/01/2024,"13.34","13.66","13.08","13.11"
02/29/2024,"14.14","14.15","13.30","13.40"
02/28/2024,"13.52","13.90","13.44","13.84"
02/27/2024,"13.63","13.75","13.41","13.43"
02/26/2024,"14.17","14.20","13.66","13.74"
02/23/2024,"14.31","14.31","13.64","13.75"
02/22/2024,"14.28","14.64","14.12","14.54"
02/21/2024,"15.54","16.12","15.22","15.34"
02/20/2024,"15.09","15.91","15.07","15.42"
02/16/2024,"13.94","14.71","13.75","14.24"
