Date,Open,High,Low,Close
01/06/2025,5982.81,"6,021.04","5,960.01","5,975.38"
01/03/2025,5891.07,"5,949.34","5,888.66","5,942.47"
01/02/2025,5903.26,"5,935.09","5,829.53","5,868.55"
12/31/2024,5919.74,"5,929.74","5,868.86","5,881.63"
12/30/2024,5920.67,"5,940.79","5,869.16","5,906.94"
12/27/2024,6006.17,"6,006.17","5,932.95","5,970.84"
12/26/2024,6024.97,"6,049.75","6,007.37","6,037.59"
12/24/2024,5984.63,"6,040.10","5,981.44","6,040.04"
12/23/2024,5940.25,"5,978.25","5,902.57","5,974.07"
12/20/2024,5842.00,"5,982.06","5,832.30","5,930.85"
