Date,Open,High,Low,Close
09/05/2025,"6,529.08","6,532.65","6,443.98","6,481.50"
09/04/2025,"6,456.60","6,502.54","6,445.98","6,502.08"
09/03/2025,"6,445.82","6,453.67","6,416.17","6,448.26"
09/02/2025,"6,401.51","6,416.54","6,360.58","6,415.54"
08/29/2025,"6,489.28","6,491.76","6,444.57","6,460.26"
08/28/2025,"6,483.84","6,508.23","6,466.96","6,501.86"
08/27/2025,"6,462.26","6,487.06","6,457.84","6,481.40"
08/26/2025,"6,435.49","6,468.37","6,429.21","6,465.94"
08/25/2025,"6,457.67","6,466.89","6,438.06","6,439.32"
08/22/2025,"6,384.59","6,478.89","6,384.59","6,466.91"
08/21/2025,"6,380.83","6,393.65","6,352.71","6,370.17"
08/20/2025,"6,406.62","6,408.40","6,343.86","6,395.78"
08/19/2025,"6,446.24","6,456.48","6,400.22","6,411.37"
08/18/2025,"6,445.02","6,455.35","6,437.70","6,449.15"
08/15/2025,"6,477.38","6,481.34","6,441.85","6,449.80"
08/14/2025,"6,453.46","6,473.92","6,441.07","6,468.54"
08/13/2025,"6,462.67","6,480.28","6,445.02","6,466.58"
08/12/2025,"6,395.17","6,446.55","6,385.76","6,445.76"
08/11/2025,"6,389.67","6,407.25","6,364.06","6,373.45"
08/08/2025,"6,355.22","6,395.16","6,355.22","6,389.45"
08/07/2025,"6,374.32","6,389.71","6,310.32","6,340.00"
08/06/2025,"6,309.30","6,352.83","6,301.11","6,345.06"
